n,metric,steps,independent_inputs,repeats_per_input,baseline,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3
9,spectrum,256,10,5,bitwise,6.4371953125,6.4165029296875,6.480240234375,0.65301953125,0.6295937500000001,0.6663759765624999,9.770405218589364,9.684556884588691,10.220387617097568,1.673732,1.6682345,1.68501525,0.21714899999999998,0.21353350000000001,0.2206155,7.641751165986974,7.6167960232502505,7.837436837454788
10,max,1920,10,5,bitwise,1.0104260416666666,1.0091479166666666,1.0113119791666667,0.11174166666666666,0.1110234375,0.11369192708333334,9.015915954555396,8.888519094469883,9.118264278100582,1.9719419999999999,1.97001825,1.9730794999999999,0.2460675,0.24475825,0.249774,7.999222347842066,7.8961027557406815,8.069147992627968
10,min,71,10,5,bitwise,21.41549295774648,21.280845070422536,21.725535211267605,0.8277746478873239,0.8209295774647888,0.8334788732394366,25.947314465912086,25.83548702121144,26.20608912561174,1.566687,1.5575562500000002,1.58946675,0.081374,0.08114475,0.08196575,19.26143581578068,19.21959061802248,19.440876084575166
10,spectrum,128,10,5,bitwise,16.6045390625,16.554521484375,16.717927734375,1.40099609375,1.367904296875,1.4531015624999999,11.879334127677726,11.486370947753343,12.1752540062322,2.173287,2.1656265,2.1877125,0.3197185,0.31518425,0.32596674999999997,6.803968675889365,6.696204191548554,6.905882730007314
11,max,1536,10,5,bitwise,2.036648763020833,2.035222493489583,2.038147786458333,0.14326595052083335,0.1391336263020833,0.14536523437499999,14.223331221075355,14.025634071586463,14.632403983015257,3.1875055000000003,3.1853569999999998,3.18919075,0.27707499999999996,0.27423549999999997,0.280456,11.51904282437929,11.37224822007455,11.616785753784619
11,min,45,10,5,bitwise,57.42093333333333,56.9101,57.62768888888889,1.5959333333333334,1.5877999999999999,1.6301722222222221,35.683898513727556,35.3898337970997,36.29388141456525,2.682245,2.6593855,2.69143725,0.1111985,0.110527,0.11279175,24.117923943719386,23.736765291165238,24.262882008329388
11,spectrum,128,10,5,bitwise,43.6581640625,43.4968515625,44.04966015625,3.3116015625,3.26729296875,3.4393671875,13.264367448166933,12.647827329049548,13.388275527581888,5.691615,5.6678447499999995,5.7399625,0.873212,0.867575,0.89234425,6.533266702316466,6.427778824943616,6.583754287801078
12,max,1152,10,5,bitwise,4.153806423611112,4.151339626736111,4.161096137152779,0.19403168402777776,0.1905405815972222,0.19687413194444445,21.46190051641788,21.089394433316794,21.791751937472473,4.894756,4.89139425,4.9033827500000005,0.333271,0.3301635,0.338528,14.704722034494747,14.452860198294282,14.84764966347247
12,min,21,10,5,bitwise,170.95183333333335,169.7440119047619,171.7925119047619,3.1752619047619044,3.16925,3.201107142857143,53.70483500920824,53.4120357185147,54.009259939402,3.8266590000000003,3.808372,3.85455475,0.1363915,0.1358375,0.13741025,27.995151534116303,27.917482454069287,28.194882614356786
12,spectrum,128,10,5,bitwise,133.23740625,132.95674609375,133.88362109374998,10.3584765625,10.089755859375,10.902714843750001,12.838455008315329,12.38270140486171,13.239272509134926,17.3109325,17.270187749999998,17.38725575,2.878172,2.83850025,2.9428465,6.000528196887817,5.924219074045193,6.113162088590182
