case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
random_n03_05,3,spectrum,peigen,20864,random,5,13,13,0,15203487743310875295,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04990965299079755,0.049852521088957054,0.04991928680981595,0.006836,0.003959,1.041315,1.049775
random_n03_05,3,spectrum,proposed,20864,random,5,13,13,0,15203487743310875295,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.052037432898773,0.032719373082822086,0.052696990030674844,0.013822,0.001633,1.085709,1.101425
random_n03_06,3,max,peigen,15744,random,5,2,2,0,13803103935844963521,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03196087398373984,0.027725419207317074,0.04961216971544715,0.013832,0.002145,0.503192,0.524451
random_n03_06,3,max,proposed,15744,random,5,2,2,0,13803103935844963521,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.018139608739837398,0.01772389481707317,0.01825292174796748,0.006956,0.000902,0.28559,0.293067
random_n03_06,3,min,peigen,27413,random,5,1,1,0,13908852184014430829,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03522124539452085,0.03518210338160727,0.03714310728486485,0.006936,0.000923,0.96552,0.975914
random_n03_06,3,min,proposed,27413,random,5,1,1,0,13908852184014430829,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06425816218582425,0.06404610951008645,0.06682355087002517,0.007107,0.001182,1.761509,1.769648
random_n03_06,3,spectrum,peigen,20864,random,5,11,14,0,13803103935844963521,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05007448236196319,0.04997550805214724,0.050074961656441715,0.006735,0.001693,1.044754,1.052822
random_n03_06,3,spectrum,proposed,20864,random,5,11,14,0,13803103935844963521,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.032037672546012266,0.03199779524539877,0.03263525690184049,0.006895,0.000853,0.668434,0.677585
random_n03_07,3,max,peigen,15744,random,5,2,2,0,15827570484427973019,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.038851181402439025,0.027181720020325206,0.0477328506097561,0.013762,0.001794,0.611673,0.62737
random_n03_07,3,max,proposed,15744,random,5,2,2,0,15827570484427973019,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022504319105691055,0.01714005335365854,0.03536051829268293,0.013791,0.001413,0.354308,0.369593
random_n03_07,3,min,peigen,27413,random,5,2,2,0,15827570484427973019,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.035786524641593404,0.03525706781454055,0.04103118958158538,0.014153,0.001314,0.981016,0.996512
random_n03_07,3,min,proposed,27413,random,5,2,2,0,15827570484427973019,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06252507934191806,0.0622796848210703,0.06744508080107978,0.006987,0.001172,1.714,1.722159
random_n03_07,3,spectrum,peigen,20864,random,5,14,11,0,12293598688555620571,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05003024348159509,0.04988952262269939,0.05228915835889571,0.006786,0.001123,1.043831,1.05168
random_n03_07,3,spectrum,proposed,20864,random,5,14,11,0,12293598688555620571,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03193682898773006,0.03184552338957055,0.03202137653374233,0.006756,0.000842,0.66633,0.673928
random_n03_08,3,max,peigen,15744,random,5,2,2,0,13774159825225929001,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03870477642276422,0.02934375,0.047222306910569105,0.013812,0.001724,0.609368,0.630807
random_n03_08,3,max,proposed,15744,random,5,2,2,0,13774159825225929001,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02092994156504065,0.01905887957317073,0.03922046493902439,0.013823,0.001403,0.329521,0.344977
random_n03_08,3,min,peigen,27413,random,5,1,1,0,1674203713923053373,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03523809871228979,0.03515036661438004,0.03566625323751505,0.006996,0.000992,0.965982,0.974111
random_n03_08,3,min,proposed,27413,random,5,1,1,0,1674203713923053373,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06549921570058002,0.0653342939481268,0.06720300587312589,0.007197,0.001132,1.79553,1.803809
random_n03_08,3,spectrum,peigen,20864,random,5,13,13,0,15516890761011876313,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.049874137269938654,0.04986646855828221,0.049950536809815954,0.006796,0.001043,1.040574,1.050155
random_n03_08,3,spectrum,proposed,20864,random,5,13,13,0,15516890761011876313,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04570854102760736,0.044844277223926386,0.04972378259202454,0.013912,0.001684,0.953663,0.969259
random_n03_09,3,max,peigen,15744,random,5,2,2,0,9352645789165162253,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03729465193089431,0.02908136432926829,0.04269073932926829,0.013792,0.001874,0.587167,0.602833
random_n03_09,3,max,proposed,15744,random,5,2,2,0,9352645789165162253,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.024850927337398375,0.018710619918699187,0.0249312118902439,0.013892,0.001403,0.391253,0.40711
random_n03_09,3,min,peigen,27413,random,5,1,1,0,393153296211626443,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03515762594389523,0.03514595265020246,0.035165687812351805,0.007147,0.000942,0.963776,0.97377
random_n03_09,3,min,proposed,27413,random,5,1,1,0,393153296211626443,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06316893444716011,0.06311669645788494,0.08481089264217706,0.007417,0.001183,1.73165,1.739318
random_n03_09,3,spectrum,peigen,20864,random,5,13,7,0,14991079572557836149,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05133603335889571,0.050347296779141106,0.057956959355828216,0.013742,0.001824,1.071075,1.079214
random_n03_09,3,spectrum,proposed,20864,random,5,13,7,0,14991079572557836149,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.042542657208588956,0.03347694593558282,0.04306293136503067,0.013741,0.001644,0.88761,0.903026
random_n04_00,4,max,peigen,23808,random,5,3,3,0,6453122843884374401,"[0, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0447333249327957,0.04270661122311828,0.05040456989247312,0.007036,0.001133,1.065011,1.07317
random_n04_00,4,max,proposed,23808,random,5,3,3,0,6453122843884374401,"[0, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02276344086021505,0.022681745631720433,0.024938298051075267,0.007166,0.000822,0.541952,0.55003
random_n04_00,4,min,peigen,9594,random,5,3,3,0,648900470063463495,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06167260787992496,0.04969585157390036,0.06770804669585158,0.014724,0.001423,0.591687,0.607844
