group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
A,random_n16_00,spectrum,high,64,reference,reference-proposed,7.791472420673328,0.13931181401765214
A,random_n16_00,spectrum,natural,1,reference,reference-proposed,2148.974346226682,6.695575808127389
A,random_n16_00,spectrum,natural,2,reference,reference-proposed,1915.1905480657144,3.2546511326899865
A,random_n16_00,spectrum,natural,4,reference,reference-proposed,1945.965207077737,1.8005451310210967
A,random_n16_00,spectrum,natural,8,reference,reference-proposed,1596.586529499904,0.9604917513804943
A,random_n16_00,spectrum,natural,16,reference,reference-proposed,872.3458632432422,0.49245751087955686
A,random_n16_00,spectrum,natural,32,reference,reference-proposed,968.3047478014842,0.26397262895185825
A,random_n16_00,spectrum,natural,64,reference,reference-proposed,862.479004251917,0.13993979049352445
B,AES,max,natural,1,bitwise,proposed,2.968321372395526,2.9238383894558297
B,AES,max,natural,2,bitwise,proposed,2.818910829912169,2.7312377175094205
B,AES,max,natural,4,bitwise,proposed,2.756098203134927,2.675978246480807
B,AES,max,natural,8,bitwise,proposed,2.9947605266746464,2.9511918425982837
B,AES,max,natural,16,bitwise,proposed,3.036906374751157,2.9795971531728247
B,AES,max,natural,32,bitwise,proposed,2.985180448076154,2.9362847295779053
B,AES,max,natural,64,bitwise,proposed,2.9854790308713635,2.90362391654799
B,AES,max,natural,1,peigen,proposed,8.232190994168512,8.087815405768787
B,AES,min,natural,1,bitwise,proposed,1.6884399073064948,1.6780511502739053
B,AES,min,natural,2,bitwise,proposed,1.6056480275739955,1.5749233206543634
B,AES,min,natural,4,bitwise,proposed,1.7308754204579808,1.7169854589532505
B,AES,min,natural,8,bitwise,proposed,1.6035644257888886,1.5711290859600526
B,AES,min,natural,16,bitwise,proposed,1.6891436830560727,1.680105816872365
B,AES,min,natural,32,bitwise,proposed,1.695458072683802,1.6835885081469382
B,AES,min,natural,64,bitwise,proposed,1.6993697664127476,1.6866284171572161
B,AES,min,natural,1,peigen,proposed,1.1932556897628612,1.1956932337742898
B,AES,spectrum,natural,1,bitwise,proposed,1.9170969595934089,1.8950595216816215
B,AES,spectrum,natural,2,bitwise,proposed,2.0548827356905366,2.0534622069423936
B,AES,spectrum,natural,4,bitwise,proposed,1.8198988718304678,1.7964196140112225
B,AES,spectrum,natural,8,bitwise,proposed,1.8266296583977448,1.7575636407970623
B,AES,spectrum,natural,16,bitwise,proposed,1.893925342642497,1.8695331905406027
B,AES,spectrum,natural,32,bitwise,proposed,1.8374392352149092,1.8113254807260022
B,AES,spectrum,natural,64,bitwise,proposed,1.8965755017096975,1.861792167113226
B,AES,spectrum,natural,1,peigen,proposed,2.6530976859148874,2.6263438707207065
B,CLEFIA_S0,max,natural,1,bitwise,proposed,3.1270957392699246,3.0635847375957246
B,CLEFIA_S0,max,natural,2,bitwise,proposed,3.2759387053647697,3.246680613072621
B,CLEFIA_S0,max,natural,4,bitwise,proposed,3.1005731271467414,3.0246019414871705
B,CLEFIA_S0,max,natural,8,bitwise,proposed,3.128666357339343,3.043429129844158
B,CLEFIA_S0,max,natural,16,bitwise,proposed,3.2306205216460504,3.15189861679932
B,CLEFIA_S0,max,natural,32,bitwise,proposed,3.2342368667463113,3.154687971808976
B,CLEFIA_S0,max,natural,64,bitwise,proposed,3.1256793073495333,3.0350046469651284
B,CLEFIA_S0,max,natural,1,peigen,proposed,8.813215331910824,8.639087212628128
B,CLEFIA_S0,min,natural,1,bitwise,proposed,1.9596622939671062,1.9165791893955877
B,CLEFIA_S0,min,natural,2,bitwise,proposed,2.1596276143840267,2.150755922296483
B,CLEFIA_S0,min,natural,4,bitwise,proposed,1.935790617249752,1.9136113601463964
B,CLEFIA_S0,min,natural,8,bitwise,proposed,1.9147763408946363,1.8745920959134639
B,CLEFIA_S0,min,natural,16,bitwise,proposed,1.9972743549427878,1.9481393719277038
B,CLEFIA_S0,min,natural,32,bitwise,proposed,1.998627283829148,1.9799476406154637
B,CLEFIA_S0,min,natural,64,bitwise,proposed,2.0030576505785374,1.9748907404048917
B,CLEFIA_S0,min,natural,1,peigen,proposed,2.2275687578225583,2.175312374130008
B,CLEFIA_S0,spectrum,natural,1,bitwise,proposed,1.894587179576519,1.8631444286414427
B,CLEFIA_S0,spectrum,natural,2,bitwise,proposed,2.081360600928033,2.075008070977409
B,CLEFIA_S0,spectrum,natural,4,bitwise,proposed,1.8698149890666258,1.8416038307125047
B,CLEFIA_S0,spectrum,natural,8,bitwise,proposed,1.8850026508940336,1.8603409165267084
B,CLEFIA_S0,spectrum,natural,16,bitwise,proposed,1.8846680088566683,1.864420490471782
B,CLEFIA_S0,spectrum,natural,32,bitwise,proposed,1.8883441599610398,1.8570440263867258
B,CLEFIA_S0,spectrum,natural,64,bitwise,proposed,1.876380521389943,1.8220038188058618
B,CLEFIA_S0,spectrum,natural,1,peigen,proposed,2.6992079033293837,2.658238196958765
B,CLEFIA_S1,max,natural,1,bitwise,proposed,3.0035169706237475,2.955557673695633
B,CLEFIA_S1,max,natural,2,bitwise,proposed,2.443033439393087,2.348811809288018
B,CLEFIA_S1,max,natural,4,bitwise,proposed,2.4500550219818478,2.3933143625827813
B,CLEFIA_S1,max,natural,8,bitwise,proposed,2.283551888155993,2.2235953815926
B,CLEFIA_S1,max,natural,16,bitwise,proposed,3.0265002381860464,2.9692922723574187
B,CLEFIA_S1,max,natural,32,bitwise,proposed,2.9934631554927837,2.930336070316073
B,CLEFIA_S1,max,natural,64,bitwise,proposed,2.9706049703945614,2.8954321737550806
B,CLEFIA_S1,max,natural,1,peigen,proposed,8.077747207908788,7.904523075311943
B,CLEFIA_S1,min,natural,1,bitwise,proposed,1.5944526333490971,1.5810258814718068
B,CLEFIA_S1,min,natural,2,bitwise,proposed,1.7319055341901888,1.7224652949581094
B,CLEFIA_S1,min,natural,4,bitwise,proposed,1.514776719025387,1.4835299248359854
B,CLEFIA_S1,min,natural,8,bitwise,proposed,1.7327445689887029,1.7240276731386306
B,CLEFIA_S1,min,natural,16,bitwise,proposed,1.6990061784250232,1.6812650581779038
B,CLEFIA_S1,min,natural,32,bitwise,proposed,1.729558934230904,1.7144899021289024
B,CLEFIA_S1,min,natural,64,bitwise,proposed,1.707542744663791,1.6953101173134675
B,CLEFIA_S1,min,natural,1,peigen,proposed,1.0182703140012783,1.0067811916899143
B,CLEFIA_S1,spectrum,natural,1,bitwise,proposed,1.8575177943047578,1.7782091089484087
B,CLEFIA_S1,spectrum,natural,2,bitwise,proposed,1.9372442837176478,1.8951819134800927
B,CLEFIA_S1,spectrum,natural,4,bitwise,proposed,1.9599574637591695,1.9189032405587427
B,CLEFIA_S1,spectrum,natural,8,bitwise,proposed,1.951280990005999,1.9201867392762075
B,CLEFIA_S1,spectrum,natural,16,bitwise,proposed,1.916510316802958,1.8891702244249882
B,CLEFIA_S1,spectrum,natural,32,bitwise,proposed,1.9537260751367012,1.9151439611945118
B,CLEFIA_S1,spectrum,natural,64,bitwise,proposed,1.9390457950691087,1.8957330791481568
