group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n12_00,max,high,reference,coam,64,2.068200901699537,2.0600580424926047,2.117865170377523,1.4826066885156983,1.4809540586429195,1.5102134566624739
A,random_n12_00,max,high,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,max,high,reference-proposed,coam,2,0.846750604095129,0.779202843376172,0.8858510216308243,1.0030546287626025,0.977285412097684,1.2139725084342712
A,random_n12_00,max,high,reference-proposed,coam,4,0.9254934667778705,0.9154379906918011,0.9296120145980618,1.0649155537003905,1.0215868142088314,1.1806897273154187
A,random_n12_00,max,high,reference-proposed,coam,8,0.8917869790247889,0.8162104923942388,0.9180083627618183,1.2019478149721028,1.1424710583239497,1.337859472353507
A,random_n12_00,max,high,reference-proposed,coam,16,0.7712468343247542,0.7549824283724949,0.7867440003476047,1.2321002309647617,1.2261966432588784,1.3619033906888767
A,random_n12_00,max,high,reference-proposed,coam,32,0.6519304010156075,0.646863600353572,0.7328296529030798,1.1905518098420447,1.1858014934826773,1.2818302666842978
A,random_n12_00,max,high,reference-proposed,coam,64,0.5630285238575121,0.5470575153659138,0.6133193052856782,1.1317365883680377,1.110313498848949,1.2069661347035097
A,random_n12_00,max,natural,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,max,natural,reference,coam,2,0.9549604969374815,0.9522056249709607,1.1305801939075792,0.9384416054376666,0.9170038458425358,1.1427269890759997
A,random_n12_00,max,natural,reference,coam,4,1.7406259245443203,1.7236236058365166,1.7533626527730988,1.3949311784901868,1.3128057266877824,1.4240458893056824
A,random_n12_00,max,natural,reference,coam,8,2.262169454577066,2.2190113075428006,2.326036112927799,1.6639971866039063,1.6530518890855819,1.6666150618957072
A,random_n12_00,max,natural,reference,coam,16,2.5816237054955025,2.514934784357722,2.7100071407651694,1.8164994022897265,1.8000991819223262,1.836813948980769
A,random_n12_00,max,natural,reference,coam,32,2.36964747852805,2.348338509625866,2.4818179500526614,1.6873799196677508,1.6848929513944013,1.6935320683830155
A,random_n12_00,max,natural,reference,coam,64,2.1477566888147503,2.12920340055911,2.263592797332343,1.5860023773289085,1.560013397785203,1.5893516488832589
A,random_n12_00,max,natural,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,max,natural,reference-proposed,coam,2,0.520096921322691,0.49615349348410265,0.5902232446362081,1.1206597642894995,1.0270768742966738,1.2936752682506842
A,random_n12_00,max,natural,reference-proposed,coam,4,0.7602083333333334,0.6753431305484616,0.7683836123941494,1.3343092784272703,1.2054560651621455,1.4234542756829702
A,random_n12_00,max,natural,reference-proposed,coam,8,0.43344938403856453,0.42838362473389946,0.6413900115444149,1.3701926844512573,1.2929649434892965,1.4547857336585928
A,random_n12_00,max,natural,reference-proposed,coam,16,0.24884069830878341,0.24863370295331727,0.472793743269601,1.3721623318454317,1.3098235640188673,1.4888333291485865
A,random_n12_00,max,natural,reference-proposed,coam,32,0.313541263076327,0.2619897780202858,0.3902289388352544,1.3474994266895741,1.2245841980658998,1.4256980813548563
A,random_n12_00,max,natural,reference-proposed,coam,64,0.487378122078269,0.461024900974679,0.5400751341991169,1.2996067824141637,1.243815603034031,1.3178667499573393
A,random_n12_00,min,static,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,min,static,reference,coam,2,2.2882785499542426,2.2809497963314103,2.299414151919219,2.13714639687837,2.1263508252437386,2.1428713335173537
A,random_n12_00,min,static,reference,coam,4,4.480830194354082,4.456529515930649,4.502703193528651,3.767223085465767,3.7579774105177517,3.79466099005883
A,random_n12_00,min,static,reference,coam,8,7.19379426209762,7.107354486888832,7.237829653052428,5.8230306980684325,5.7657309470827816,5.919100369451863
A,random_n12_00,min,static,reference,coam,16,8.173459112676541,8.141910911274813,8.193162272375194,8.017869347679259,7.986460471067019,8.020151349877736
A,random_n12_00,min,static,reference,coam,32,13.437632879060564,13.423548548008752,13.563247080810552,13.122853855887755,13.116380184383821,13.227801552199002
A,random_n12_00,min,static,reference,coam,64,15.859113599924443,15.762846972038414,15.958213812180826,14.943884013066862,14.923201504831393,15.114029127513767
A,random_n12_00,min,static,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,min,static,reference-proposed,coam,2,0.7251375911941635,0.7189372297918295,0.7306060212490084,0.79442646547838,0.7799383373147304,0.8074945524833553
A,random_n12_00,min,static,reference-proposed,coam,4,0.9655130610240468,0.9643653093049394,0.9760102333309436,0.9577429100144952,0.9544839874488275,0.97417556622408
A,random_n12_00,min,static,reference-proposed,coam,8,1.030496483452379,1.0292999305968962,1.0450216314384109,0.9937475225284744,0.9753916691175029,1.0146470303395592
A,random_n12_00,min,static,reference-proposed,coam,16,0.5860988113205193,0.5736240458307167,0.5895370116155565,0.7645244047866331,0.7549817921325689,0.7750600816641725
A,random_n12_00,min,static,reference-proposed,coam,32,0.3209192153221896,0.31513480540041405,0.33020514811669444,0.5217425085756014,0.5092020827393059,0.5314700383164632
A,random_n12_00,min,static,reference-proposed,coam,64,0.14470065402798135,0.1435006998662743,0.15079971615762455,0.28574444626314527,0.2843202102161742,0.2934747911728609
A,random_n12_00,spectrum,high,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,spectrum,high,reference,coam,2,2.3072428137317247,2.299797194242922,2.3076792843299883,2.1431626173090716,2.1262833343012484,2.149691408727133
A,random_n12_00,spectrum,high,reference,coam,4,4.487337960810311,4.486786996898868,4.494923835386557,3.7742930198979465,3.7666738329095955,3.7780543231411166
A,random_n12_00,spectrum,high,reference,coam,8,7.146966441173982,7.073057086148083,7.169912233824667,5.763057815290292,5.716064522996157,5.76639593235074
A,random_n12_00,spectrum,high,reference,coam,16,8.231524285915807,8.228433768880056,8.258884060042604,8.009506173695916,8.000905477350356,8.028273638575156
