group,case,metric,profile,method,binary,threads,n,steps,repeats,kernel_us_per_step,kernel_us_q1,kernel_us_q3,paired_hardware_speedup,parallel_efficiency,process_seconds,init_ms,context_ms,kernel_ms,total_ms
A,random_n12_00,min,static,reference-proposed,coam,32,12,2,3,723.813,707.934,735.59925,0.3209192153221896,0.010028725478818425,0.009051884524524212,0.688847,0.05196,1.447626,2.162239
A,random_n12_00,min,static,reference-proposed,coam,64,12,2,3,1605.283,1539.435,1628.1695,0.14470065402798135,0.0022609477191872086,0.012458986602723598,0.727152,0.052639,3.210566,3.987798
A,random_n12_00,spectrum,high,reference,coam,1,12,2,3,133783.6205,133772.54525,134026.87524999998,1.0,1.0,0.4070333391427994,134.330513,0.053464,267.567241,401.906917
A,random_n12_00,spectrum,high,reference,coam,2,12,2,3,57974.596,57968.431249999994,58273.84625,2.3072428137317247,1.1536214068658623,0.1945445379242301,71.473939,0.050516,115.949192,187.529828
A,random_n12_00,spectrum,high,reference,coam,4,12,2,3,29815.968,29814.77525,29818.5715,4.487337960810311,1.1218344902025779,0.11371798999607563,47.050001,0.072535,59.631936,106.764886
A,random_n12_00,spectrum,high,reference,coam,8,12,2,3,18787.01,18691.719250000002,18950.641499999998,7.146966441173982,0.8933708051467477,0.07613658905029297,32.41642,0.050255,37.57402,69.921555
A,random_n12_00,spectrum,high,reference,coam,16,12,2,3,16264.807,16203.700499999999,16288.252,8.231524285915807,0.5144702678697379,0.056290206499397755,17.63896,0.046746,32.529614,50.257699
A,random_n12_00,spectrum,high,reference,coam,32,12,2,3,9958.3925,9945.944,10068.310249999999,13.434258641643217,0.4198205825513505,0.03767513856291771,10.599334,0.049635,19.916785,30.567066
A,random_n12_00,spectrum,high,reference,coam,64,12,2,3,8325.8875,8323.81125,8406.627,16.06573113076534,0.25102704891820843,0.0355664836242795,9.967781,0.050296,16.651775,26.668458
A,random_n12_00,spectrum,high,reference-proposed,coam,1,12,2,3,2785.01,2783.42325,2788.97575,1.0,1.0,0.06044821813702583,44.775732,0.0524,5.57002,50.388959
A,random_n12_00,spectrum,high,reference-proposed,coam,2,12,2,3,2435.672,2422.8647499999997,2438.76325,1.1466821066219097,0.5733410533109549,0.06338582374155521,47.281688,0.04766,4.871344,52.213057
A,random_n12_00,spectrum,high,reference-proposed,coam,4,12,2,3,1297.988,1293.00775,1313.192,2.151746780401668,0.537936695100417,0.05479127448052168,40.622113,0.049043,2.595976,43.32245
A,random_n12_00,spectrum,high,reference-proposed,coam,8,12,2,3,1031.2765,991.3375,1032.30175,2.702863178838838,0.3378578973548548,0.050739615224301815,37.740038,0.047578,2.062553,39.84977
A,random_n12_00,spectrum,high,reference-proposed,coam,16,12,2,3,1024.1785,1022.66,1034.594,2.719262316090408,0.1699538947556505,0.05115611478686333,37.802554,0.047608,2.048357,39.898641
A,random_n12_00,spectrum,high,reference-proposed,coam,32,12,2,3,975.667,970.552,975.93025,2.8625970746166467,0.08945615858177021,0.05256221164017916,37.636969,0.051358,1.951334,39.63882
A,random_n12_00,spectrum,high,reference-proposed,coam,64,12,2,3,773.1395,772.08975,775.61275,3.6022089157260755,0.05628451430821993,0.05594494380056858,39.662791,0.049083,1.546279,41.26123
A,random_n12_00,spectrum,natural,reference,coam,1,12,2,3,133751.1925,133720.6105,133754.07725,1.0,1.0,0.40706248115748167,134.214637,0.05218,267.502385,401.778265
A,random_n12_00,spectrum,natural,reference,coam,2,12,2,3,58029.464,58020.0655,58136.685750000004,2.3049835855799046,1.1524917927899523,0.19484627433121204,72.578708,0.04788,116.058928,188.966578
A,random_n12_00,spectrum,natural,reference,coam,4,12,2,3,29864.4595,29862.374,29941.99825,4.4771847566040766,1.1192961891510191,0.11310924310237169,46.98361,0.102124,59.728919,106.814653
A,random_n12_00,spectrum,natural,reference,coam,8,12,2,3,18643.003,18636.35925,18723.7645,7.171056535258831,0.8963820669073539,0.07582518365234137,32.192629,0.048823,37.286006,69.544174
A,random_n12_00,spectrum,natural,reference,coam,16,12,2,3,17301.752,16996.254249999998,17426.850749999998,7.726964789461784,0.4829352993413615,0.059646100737154484,18.503823,0.045745,34.603504,53.301434
A,random_n12_00,spectrum,natural,reference,coam,32,12,2,3,10550.6135,10390.265,10587.9565,12.677647797447987,0.3961764936702496,0.039930504746735096,11.098438,0.055648,21.101227,32.2634
A,random_n12_00,spectrum,natural,reference,coam,64,12,2,3,8393.062,8351.44675,8395.022,15.928635878062142,0.24888493559472097,0.03507961519062519,9.862688,0.050186,16.786124,26.696873
A,random_n12_00,spectrum,natural,reference-proposed,coam,1,12,2,3,1072.0945,1068.03375,1074.7314999999999,1.0,1.0,0.05779409874230623,45.070212,0.049283,2.144189,47.248725
A,random_n12_00,spectrum,natural,reference-proposed,coam,2,12,2,3,711.1555,709.17625,720.54775,1.5044930903270235,0.7522465451635117,0.05922669544816017,47.482503,0.105243,1.422311,49.048508
A,random_n12_00,spectrum,natural,reference-proposed,coam,4,12,2,3,383.5515,379.23474999999996,391.30125,2.808927875396133,0.7022319688490333,0.05301873479038477,40.654324,0.052831,0.767103,41.500597
A,random_n12_00,spectrum,natural,reference-proposed,coam,8,12,2,3,230.6075,230.046,237.13225,4.671751251173826,0.5839689063967283,0.04940748028457165,37.879878,0.04794,0.461215,38.416726
A,random_n12_00,spectrum,natural,reference-proposed,coam,16,12,2,3,260.1295,259.1855,264.04150000000004,4.090166628544629,0.2556354142840393,0.04982519242912531,37.71685,0.04784,0.520259,38.291821
