case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n04_00,4,4,min,static,reference-proposed,7808,random,999424,0,249856,0,0,0,109312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_00,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_00,4,4,max,natural,reference-proposed,8064,random,0,0,0,101350,0,19615,0,84609,47439,0,0,0,0,0,0,0,0,0,0,23830,11440,4714,1081
random_n04_00,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_00,4,4,max,high,reference-proposed,8960,random,0,0,0,184149,0,21204,0,182980,103740,0,0,0,0,0,0,0,0,0,0,21617,9814,4796,1343
random_n04_00,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_00,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,168672,0,33252,0,37604,21084,0,0,0,0,0,0,0,0,0,0,39789,18823,7924,1926
random_n04_00,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_00,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,36879,0,75806,42978,0,0,0,0,0,0,0,0,0,0,40562,18866,8537,2294
random_n04_01,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,min,static,reference-proposed,7808,random,999424,0,0,0,0,0,132736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,max,natural,reference-proposed,8064,random,0,0,0,97070,0,18714,0,84105,46305,0,0,0,0,0,0,0,0,0,0,23802,11438,4570,1049
random_n04_01,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,max,high,reference-proposed,8960,random,0,0,0,221041,0,24494,0,182980,103740,0,0,0,0,0,0,0,0,0,0,25937,11783,5591,1713
random_n04_01,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,164640,0,32493,0,37380,20580,0,0,0,0,0,0,0,0,0,0,39877,18940,7818,1913
random_n04_01,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_01,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,35986,0,75806,42978,0,0,0,0,0,0,0,0,0,0,40573,18875,8568,2253
random_n04_02,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_02,4,4,min,static,reference-proposed,7808,random,999424,0,374784,0,0,0,117120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_02,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_02,4,4,max,natural,reference-proposed,8064,random,0,0,0,95371,0,19895,0,82404,44604,0,0,0,0,0,0,0,0,0,0,23879,11243,4884,1185
random_n04_02,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_02,4,4,max,high,reference-proposed,8960,random,0,0,0,221524,0,20868,0,182980,103740,0,0,0,0,0,0,0,0,0,0,26524,12633,5392,1111
random_n04_02,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_02,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,158592,0,32422,0,36624,19824,0,0,0,0,0,0,0,0,0,0,39563,18705,8044,1923
random_n04_02,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
