n,metric,profile,steps,independent_inputs,repeats_per_input,reference_growth_factor,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3,speedup_over_reference_factor,speedup_over_reference_factor_q1,speedup_over_reference_factor_q3
10,spectrum,natural,128,10,5,20,6545.08714453125,6524.463083984375,6572.69544140625,34.953847656250005,34.795845703125,37.022341796875,187.1424497317688,175.3273932649475,189.05599441023793,844.4017135,841.7543185,847.94771675,7.3671595,7.3262037499999995,7.589475500000001,114.43392858031407,110.3315797396027,115.7420196290066,9.357122486588441,8.766369663247374,9.452799720511894
11,max,high,192,10,5,11,145.91558854166664,144.99689973958334,147.00495833333332,5.652276041666667,5.5338515625,5.755830729166667,25.822972783299193,25.622333687072476,26.366150770994217,28.4263835,28.19762575,28.60164375,1.3395199999999998,1.32152475,1.3752675,21.094873330628143,20.807018259053756,21.54362698883928,2.3475429802999264,2.3293030624611344,2.3969227973631106
11,max,natural,1312,10,5,11,114.30216539634145,113.34361337652439,114.83527324695122,0.5801764481707317,0.5005489710365854,0.5946179496951219,197.714923448844,193.13169813706492,224.60304517665702,150.3258415,149.09819725,151.01878525,1.0192329999999998,0.91938825,1.0394822499999998,148.00952809347368,145.54428568845012,160.8276036662202,17.974083949894908,17.557427103369537,20.418458652423364
11,min,static,32,10,5,186.1818181818182,26834.914453125,26739.02521875,26893.189515625003,91.0215,88.3064140625,91.23769531250001,294.76532155774873,292.9544654322022,305.55554321232245,885.6819734999999,882.552858,887.6690115,3.198064,3.11016775,3.2102102500000003,276.8633945433671,274.7869336716367,286.36309619846816,1.5832121763355647,1.5734858983174922,1.64116746842556
11,spectrum,high,32,10,5,22,26887.229671875,26812.2370703125,26917.076953124997,722.355953125,715.8514687500001,728.0428359375,37.28417990929877,36.846903859798516,37.42115383842791,887.6543154999999,885.015202,888.3100917500001,34.593674,34.10851925,34.85034125,25.663914877171138,25.470188170347907,25.910821532597886,1.6947354504226713,1.674859266354478,1.7009615381103598
11,spectrum,natural,32,10,5,22,26837.9010625,26732.442078124997,26976.917406250002,180.02115625,170.030109375,189.5178671875,149.0402892448277,141.68034521385664,157.76025775926382,885.8036924999999,882.4455725,890.417173,17.1569225,16.8028595,17.225924499999998,51.42199259081285,51.21725939548775,53.01898132124109,6.774558602037624,6.440015691538938,7.1709208072392645
12,max,high,96,10,5,12,361.243640625,360.5495104166667,361.9888619791667,11.873093749999999,11.576877604166667,11.965760416666665,30.450223835650846,30.229724018601562,31.146305014278944,35.455795499999994,35.43149675,35.530018999999996,1.7147774999999998,1.688651,1.7264125,20.67355479313816,20.539764328616414,20.959685692919958,2.5375186529709035,2.519143668216797,2.5955254178565785
12,max,natural,1056,10,5,12,333.05819554924244,331.45575213068184,333.8538707386364,0.9130525568181818,0.8012232481060606,0.9565232007575757,364.9281913917157,349.748326573308,414.1956592523552,352.61411250000003,350.81784725,353.379728,1.5348255,1.41823825,1.578813,229.83867892880312,224.28968756278377,247.49480783825823,30.410682615976313,29.145693881109004,34.51630493769626
12,min,static,32,10,5,341.3333333333333,109790.479296875,109475.8447109375,109868.27868749999,206.75659374999998,198.02363281249998,210.73871875,531.88097231141,520.6118956729138,553.9912225237118,3623.3871634999996,3613.0758635,3626.084195,7.251552,6.956473,7.37322875,500.48991950075595,491.07026437338754,519.733634017614,1.5582450360685842,1.5252301631042395,1.623021159737437
12,spectrum,high,32,10,5,24,109591.926890625,109566.2363203125,109756.144921875,3565.43690625,3524.9484921875,3588.18340625,30.752212271963295,30.546245468807676,31.4569634201568,3617.0919569999996,3615.69948325,3621.954603,158.505377,157.29926625000002,159.06496675,22.808760372197593,22.729718048902676,23.05432151869256,1.2813421779984706,1.2727602278669865,1.3107068091732001
